payment_id,amount,retry_count,successful_payments,failed_payments,lifetime_value,subscription_active,previous_failures,failure_reason,recovered
pay_test_1,84310,0,0,4,65196,0,1,insufficient_funds,1
pay_test_2,11895,4,13,0,8811,0,1,card_declined,0
pay_test_2,11895,4,13,0,8811,0,1,card_declined,0
pay_test_3,79407,0,17,3,188700,1,1,network_error,1
pay_test_4,36963,0,5,6,90194,1,1,card_declined,1
pay_test_5,13896,0,12,1,95104,1,4,expired_card,1
pay_test_6,96147,3,17,1,100230,0,4,expired_card,1
pay_test_7,81570,2,18,3,185699,0,0,card_declined,0
pay_test_8,10958,1,3,6,73869,1,5,expired_card,0
pay_test_9,49020,2,6,10,70986,0,4,card_declined,0
pay_test_10,96068,1,5,7,100471,1,5,bank_error,0
pay_test_11,90233,2,1,3,9414,1,3,expired_card,0
pay_test_12,28153,4,10,3,172819,1,3,network_error,0
pay_test_13,35218,1,7,8,142289,1,5,bank_error,0
pay_test_14,76984,3,11,3,37262,1,0,insufficient_funds,1
pay_test_15,20533,5,5,10,111666,0,3,network_error,0
pay_test_16,61848,4,8,8,4009,0,5,bank_error,0
pay_test_17,84512,2,3,4,114971,0,3,insufficient_funds,0
pay_test_18,66112,1,16,1,164918,1,5,bank_error,1
pay_test_19,26571,1,11,2,142394,0,4,expired_card,0
pay_test_20,3052,0,11,4,63770,0,1,bank_error,1
pay_test_21,11726,5,15,1,140645,0,1,network_error,1
pay_test_22,22143,2,16,9,111923,0,4,card_declined,0
pay_test_23,52796,5,20,5,115845,1,0,card_declined,0
pay_test_24,8892,2,0,9,146207,0,4,card_declined,0
pay_test_25,9805,5,20,0,61015,0,0,expired_card,0
pay_test_26,67891,1,8,10,128248,0,4,card_declined,0
pay_test_27,76025,3,7,7,107708,0,0,insufficient_funds,0
pay_test_28,46938,3,13,7,192122,0,5,insufficient_funds,0
pay_test_29,53272,5,10,1,66183,0,1,bank_error,0
pay_test_30,18873,3,5,4,122275,0,0,network_error,1
pay_test_31,13333,0,20,8,4868,0,1,card_declined,0
pay_test_32,64153,3,6,6,16370,0,3,insufficient_funds,0
pay_test_33,35260,3,9,6,183607,1,1,card_declined,1
pay_test_34,29034,0,18,8,16979,1,0,insufficient_funds,1
pay_test_35,62993,4,16,2,15910,0,1,insufficient_funds,0
pay_test_36,9407,5,7,6,32427,0,4,bank_error,0
pay_test_37,81683,0,13,10,154006,1,2,card_declined,1
pay_test_38,31785,2,12,2,177079,1,3,expired_card,1
pay_test_39,1720,3,19,9,27209,0,4,card_declined,0
pay_test_40,35260,1,11,1,65037,1,2,card_declined,1
pay_test_41,71700,5,9,9,172435,0,5,bank_error,0
pay_test_42,87451,0,4,4,31258,0,5,bank_error,0
pay_test_43,36197,2,19,3,189117,1,1,expired_card,1
pay_test_44,64532,2,1,1,167273,1,2,insufficient_funds,1
pay_test_45,44219,1,20,4,43357,1,4,network_error,1
pay_test_46,1767,0,2,2,144023,0,2,bank_error,1
pay_test_47,19910,3,4,0,81808,1,0,expired_card,1
pay_test_48,89899,1,3,5,147770,1,4,card_declined,0
pay_test_49,21799,1,13,0,48018,1,3,card_declined,1
pay_test_50,21366,5,3,6,11151,1,1,card_declined,0
