international,contact_present,acquirer_transaction_present,cart_session_duration_seconds,bank,wallet,error_code,error_source,error_step,error_reason,checkout_device,user_preferred_language,recovered
0,1,1,42,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,1
0,1,1,38,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,1
0,1,1,55,ICICI,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,iOS,en-IN,1
0,1,1,60,AXIS,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,1
0,1,1,30,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,hi-IN,1
0,1,1,25,ICICI,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,1
0,1,0,10,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,1
1,1,1,44,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,1
0,1,1,45,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,1
0,0,0,5,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,0
0,0,0,4,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,0
0,1,0,3,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,UNKNOWN,UNKNOWN,0
0,1,1,600,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,Android,en-IN,0
0,1,0,2,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,UNKNOWN,UNKNOWN,0
0,0,0,1,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,UNKNOWN,UNKNOWN,0
0,1,0,8,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INCORRECT_OTP,UNKNOWN,UNKNOWN,0
0,1,1,42,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,Android,en-IN,1
0,1,1,50,ICICI,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,Android,en-IN,1
0,1,1,45,AXIS,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,iOS,en-IN,1
0,1,1,40,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,Android,hi-IN,1
0,1,1,35,ICICI,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,Android,en-IN,1
0,1,0,5,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,UNKNOWN,UNKNOWN,0
0,1,0,4,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,UNKNOWN,UNKNOWN,0
0,0,0,3,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,INSUFFICIENT_FUNDS,UNKNOWN,UNKNOWN,0
0,1,1,45,HDFC,UNKNOWN,BAD_REQUEST_ERROR,GATEWAY,PAYMENT_AUTHENTICATION,GATEWAY_TIMEOUT,Android,en-IN,1
0,1,1,40,ICICI,UNKNOWN,BAD_REQUEST_ERROR,GATEWAY,PAYMENT_AUTHENTICATION,GATEWAY_TIMEOUT,iOS,en-IN,1
0,1,1,35,AXIS,UNKNOWN,BAD_REQUEST_ERROR,GATEWAY,PAYMENT_AUTHENTICATION,GATEWAY_TIMEOUT,Android,en-IN,1
0,1,1,30,HDFC,UNKNOWN,BAD_REQUEST_ERROR,GATEWAY,PAYMENT_AUTHENTICATION,GATEWAY_TIMEOUT,Android,hi-IN,1
0,1,0,2,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,GATEWAY,PAYMENT_AUTHENTICATION,GATEWAY_TIMEOUT,UNKNOWN,UNKNOWN,0
0,0,0,1,UNKNOWN,UNKNOWN,BAD_REQUEST_ERROR,GATEWAY,PAYMENT_AUTHENTICATION,GATEWAY_TIMEOUT,UNKNOWN,UNKNOWN,0
0,1,1,40,HDFC,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,CARD_DECLINED,Android,en-IN,0
0,1,1,50,ICICI,UNKNOWN,BAD_REQUEST_ERROR,CUSTOMER,PAYMENT_AUTHENTICATION,CARD_DECLINED,iOS,en-IN,0
